title,relation,tail,title,article
corresponding financing agreement,contain,an obligation for the third country to provide the commission with reliable and timely information which allows the commission to evaluate the fulfilment of the conditions referred to in paragraph 2 a right for the commission to suspend the financing agreement if the third country breaches an obligation relating to respect for human rights democratic principles and the rule of law and in serious cases of corruption appropriate provisions pursuant to which the third country is to commit to immediately reimburse all or part of the relevant operation funding in the event that the third country is established that the payment of the relevant union funds has been vitiated by serious irregularities attributable to the third country,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
country,breach,an obligation relating to respect for human rights democratic principles and the rule of law and in serious cases of corruption appropriate provisions pursuant to which the third country is to commit to immediately reimburse all or part of the relevant operation funding in the event that the third country is established that the payment of the relevant union funds has been vitiated by serious irregularities attributable to the third country,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
country,be,to commit to immediately reimburse all or part of the relevant operation funding in the event to which,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
country,establish,that the payment of the relevant union funds has been vitiated by serious irregularities attributable to the third country,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
payment relevant union fund,vitiate,by serious irregularities attributable to the third country,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
second subparagraph article 101(1,apply,in order to process the reimbursement referred to in point of the first subparagraph of this paragraph,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
remunerate external expert,remunerate,on the basis of a fixed amount announced in advance,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 237  Remunerated external experts 
remunerate external expert,choose,on the basis of remunerated external experts professional capacity,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 237  Remunerated external experts 
selection,do,on the basis of selection criteria respecting the principles of nondiscrimination equal treatment and absence of conflict of interests,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 237  Remunerated external experts 
expression interest,publish,on the website of the union institution,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 237  Remunerated external experts 
expression interest,include,a description of the tasks the tasks duration and the fixed conditions of remuneration,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 237  Remunerated external experts 
list expert,draw,following the call for expression of interest,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 237  Remunerated external experts 
interested natural person,submit,an application at any time during the period of validity of the call for expression of interest with the exception of the last three months of that period,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 237  Remunerated external experts 
expert pay research technological development appropriation,recruit,in accordance with the procedures laid down by the european parliament and by the council,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 237  Remunerated external experts 
european parliament,adopt,each research framework programme by the council,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 237  Remunerated external experts 
expert,treat,for the purpose of section 2 of chapter 2 of title v as recipients,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 237  Remunerated external experts 
union institution,reimburse,travel and subsistence expenses incurred by or where appropriate,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 238  Non-remunerated experts 
union institution,pay,any other indemnities,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 238  Non-remunerated experts 
union,pay,contributions as subscriptions to bodies of which it is a member or an observer,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 239  Membership fees and other payments of subscriptions 
union institution,pay,expenditure on the members and staff of union institutions including contributions to associations of current and former members of the european parliament and contributions to the european schools,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 240  Expenditure on the members and staff of Union institutions 
annual account union,prepare,for each financial year which shall run from 1 january to 31,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts 
annual account union,comprise,the following: the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts 
consolidation financial information contain financial statement union institution union body,refer,to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 241  Structure of the accounts 
entry account,base,on appropriate supporting documents in accordance with article 75,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 242  Supporting documents 
financial statement,present,in millions of euro and in accordance with the accounting rules referred to in article 80,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements 
financial statement,comprise,of: the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 december of the preceding financial year the statement of financial performance which presents the economic result for the preceding financial year the cashflow statement showing amounts collected and disbursed during the preceding financial year and the final treasury position the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements 
note financial statement,supply,all the additional information prescribed by the accounting rules referred to in article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the union,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements 
information,be,relevant to the activities of the union where,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements 
note financial statement,contain,at least the following information:,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements 
accounting officer,shall,after the close of the preceding financial year and up to the date of transmission of the general accounts,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 243  Financial statements 
budget implementation report,present,in millions of euro,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports 
budget implementation report,be,comparable year by year,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports 
structure budget implementation report,be,the same as that of the budget itself,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports 
information revenue particular change revenue,estimate,the budget implementation reports shall contain:,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports 
revenue outturn entitlement,establish,information showing changes in the total commitment and payment appropriations available information showing the use made of the total commitment and payment appropriations available information showing commitments outstanding those carried over from the preceding financial year and those made during the financial year,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports 
statement,regard,information on revenue,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports 
statement,attach,to the budget implementation report showing for each member state the breakdown of amounts of own resources still to be recovered at the end of the financial year and covered by a recovery order,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 244  Budget implementation reports 
accounting officer union institution commission body,refer,to in article 241 by 1 march of the following financial year by 1 march of the following financial year provisional accounts to the accounting officer of the commission and to the court of auditors,TITLE XIII ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING,Article 245  Provisional accounts 
